Phrase1	Person1	Personimg1	Audio1	Hint1	trans1	Phrase2	Person2	Personimg2	Audio2	Hint2	trans2	Note	Intro	Image	Tagimg	Taglogo	Tagtalk	Tags	Adio1toexport	Adio2toexport	1685	10	0	Tags
I avoid expressing my feelings and ideas in public. What about you?	Salli	<img src='Salli10.png' />	[sound:Level-C1-1810613068.mp3]	I   a_o_d   e_p_e_s_n_   m_   f_e_i_g_   <br>a_d   i_e_s   i_   <br>p_b_i_.   W_a_   a_o_t   y_u?   <br>	Eu evito expressar meus sentimentos e minhas ideias em público. E você?	I really don't mind expressing my ideas to everyone. But I'm a little more reserved about my feelings	Ana	<img src=Ana10.png />	[sound:Level-C1-73485044.mp3]	I   r_a_l_   d_n't   m_n_   e_p_e_s_n_   <br>m_   i_e_s   t_   <br>e_e_y_n_.   B_t   I'm   a   <br>l_t_l_   m_r_   r_s_r_e_   a_o_t   m_   f_e_i_g_   	Eu realmente não me importo de expressar minhas ideias para todo mundo. Mas eu sou um pouco mais reservada a respeito dos meus sentimentos		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund ♚	Level-C1-1810613068.mp3	Level-C1-73485044.mp3				
I can't stand being in a messy room	Salli	<img src='Salli10.png' />	[sound:Level-C1-53239764.mp3]	I   c_n't   s_a_d   b_i_g   i_   <br>a   m_s_y   r_o_   	Eu não consigo ficar em um quarto bagunçado	Me neither. And guess what! My husband is a super disorganized person	Ana	<img src=Ana10.png />	[sound:Level-C1-973866939.mp3]	M_   n_i_h_r.   A_d   g_e_s   w_a_!   <br>M_   h_s_a_d   i_   <br>a   s_p_r   d_s_r_a_i_e_   p_r_o_   <br>	Nem eu. E adivinha só! Meu marido é uma pessoa super desorganizada		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-53239764.mp3	Level-C1-973866939.mp3				
Justin is never worried about getting to places on time	Eva	<img src='Eva10.png' />	[sound:Level-C1-817115115.mp3]	J_s_i_   i_   n_v_r   w_r_i_d   <br>a_o_t   g_t_i_g   t_   p_a_e_   <br>o_   t_m_   	Justin nunca se preocupa em chegar nos lugares pontualmente	Oh, I hate the kind of person who never get to appointments on time	Kendra	<img src=Kendra10.png />	[sound:Level-C1-929610939.mp3]	O_,   I   h_t_   t_e   k_n_   o_   <br>p_r_o_   w_o   n_v_r   <br>g_t   t_   a_p_i_t_e_t_   o_   <br>t_m_   	Ah, eu odeio o tipo de pessoa que nunca chega a compromissos pontualmente		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-817115115.mp3	Level-C1-929610939.mp3				
How would you describe your boyfriend?	Ana	<img src='Ana10.png' />	[sound:Level-C1-1710530627.mp3]	H_w   w_u_d   y_u   d_s_r_b_   <br>y_u_   b_y_r_e_d?   	Como você descreveria o seu namorado?	Well, I'd say he's easygoing and pretty laid-back. But he's also strong and independent	Salli	<img src=Salli10.png />	[sound:Level-C1-1633881873.mp3]	W_l_,   I'd   s_y   h_'_   e_s_g_i_g   <br>a_d   p_e_t_   l_i_-_a_k.   <br>B_t   h_'_   a_s_   <br>s_r_n_   a_d   i_d_p_n_e_t   	Bem, eu diria que ele é descontraído e sossegado. Mas ele também é forte e independente		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund ♚	Level-C1-1710530627.mp3	Level-C1-1633881873.mp3				
How would you describe your friend Salli?	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-1524221491.mp3]	H_w   w_u_d   y_u   d_s_r_b_   <br>y_u_   f_i_n_   S_l_i?   	Como você descreveria a sua amiga Salli?	Well, let's see... She's very friendly, outgoing and sometimes she's pretty wild and crazy	Ana	<img src=Ana10.png />	[sound:Level-C1-1285488996.mp3]	W_l_,   l_t's   s_e...   S_e's   <br>v_r_   f_i_n_l_,   o_t_o_n_   <br>a_d   s_m_t_m_s   s_e's   <br>p_e_t_   w_l_   a_d   c_a_y   	Bem, vamos ver... Ela é muito amigável, extrovertida e às vezes é bem agitada e louca		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-1524221491.mp3	Level-C1-1285488996.mp3				
How would you describe yourself?	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-1276414893.mp3]	H_w   w_u_d   y_u   d_s_r_b_   <br>y_u_s_l_?   	Como você se descreveria?	Well, I'd say I'm kind and generous, but a little bit shy and reserved	John	<img src=John10.png />	[sound:Level-C1-964405472.mp3]	W_l_,   I'd   s_y   I'm   k_n_   <br>a_d   g_n_r_u_,   b_t   <br>a   l_t_l_   b_t   s_y   a_d   <br>r_s_r_e_   	Bem, eu diria que sou gentil e generoso, mas um pouco tímido e reservado		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-1276414893.mp3	Level-C1-964405472.mp3				
What you're going to do on Saturday night?	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-840017611.mp3]	W_a_   y_u'r_   g_i_g   t_   d_   <br>o_   S_t_r_a_   n_g_t?   <br>	O que você vai fazer no sábado à noite?	I'm not sure yet, but I always feel like going dancing on Saturday nights!	Salli	<img src=Salli10.png />	[sound:Level-C1-1883224522.mp3]	I'm   n_t   s_r_   y_t,   b_t   <br>I   a_w_y_   f_e_   l_k_   <br>g_i_g   d_n_i_g   o_   S_t_r_a_   <br>n_g_t_!   	Eu não tenho certeza ainda, mas eu sempre estou no clima de sair para dançar aos sábados à noite		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-840017611.mp3	Level-C1-1883224522.mp3				
Why do you avoid telling people that you're angry with them?	Salli	<img src='Salli10.png' />	[sound:Level-C1-1913076840.mp3]	W_y   d_   y_u   a_o_d   t_l_i_g   <br>p_o_l_   t_a_   y_u'r_   <br>a_g_y   w_t_   t_e_?   	Por que você evita falar para as pessoas que está bravo com elas?	I guess I'm just afraid of making them even angrier than I am	Matthew	<img src=Matthew10.png />	[sound:Level-C1-1260355938.mp3]	I   g_e_s   I'm   j_s_   a_r_i_   <br>o_   m_k_n_   t_e_   e_e_   <br>a_g_i_r   t_a_   I   a_   <br>	Eu acho que eu tenho medo de fazer elas ficarem ainda mais brava do que eu 		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund ♚	Level-C1-1913076840.mp3	Level-C1-1260355938.mp3				
Are you into going out and meeting new people?	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-1613682019.mp3]	A_e   y_u   i_t_   g_i_g   o_t   <br>a_d   m_e_i_g   n_w   p_o_l_?   <br>	Você gosta de sair e conhecer pessoas novas?	Yes! I love starting conversations with people I don't know	Ana	<img src=Ana10.png />	[sound:Level-C1-1837303372.mp3]	Y_s!   I   l_v_   s_a_t_n_   c_n_e_s_t_o_s   <br>w_t_   p_o_l_   <br>I   d_n't   k_o_   	Sim! Eu adoro puxar conversa com pessoas que eu não conheço	Be into = Be be interested in or enthusiastic about something	Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-1613682019.mp3	Level-C1-1837303372.mp3				
What do you hate doing on weekends?	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-2086440696.mp3]	W_a_   d_   y_u   h_t_   d_i_g   <br>o_   w_e_e_d_?   	O que você odeia fazer nos finais de semana?	I hate getting up early on weekends. I already have to wake up early every weekday	John	<img src=John10.png />	[sound:Level-C1-348691772.mp3]	I   h_t_   g_t_i_g   u_   e_r_y   <br>o_   w_e_e_d_.   I   a_r_a_y   <br>h_v_   t_   w_k_   u_   <br>e_r_y   e_e_y   w_e_d_y   	Eu odeio acordar cedo nos finais de semana. Eu já tenho que acordar cedo todos os dias de semana		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥01-What-kind-of-person-are-you? ⚑Gerund 	Level-C1-2086440696.mp3	Level-C1-348691772.mp3				
